stock_code,timestamp,open,high,low,close,volume,turnover
SPY.US,2019-03-27,281.11,281.76,277.93,279.65,72224722,0.0
SPY.US,2019-03-28,280.35,281.21,279.07,280.71,56238545,0.0
SPY.US,2019-03-29,282.39,282.84,281.14,282.48,82186806,0.0
SPY.US,2019-04-01,284.7,286.16,284.4,285.83,77617945,0.0
SPY.US,2019-04-02,286.04,286.23,285.09,285.97,40070351,0.0
SPY.US,2019-04-03,287.32,287.76,285.75,286.42,68243202,0.0
SPY.US,2019-04-04,286.78,287.459,286.01,287.18,48997505,0.0
SPY.US,2019-04-05,287.92,288.63,287.6,288.57,58621729,0.0
SPY.US,2019-04-08,288.1,288.91,287.37,288.79,53566335,0.0
SPY.US,2019-04-09,287.72,288.08,286.7,287.31,66142316,0.0
SPY.US,2019-04-10,287.77,288.39,287.31,288.29,52601499,0.0
SPY.US,2019-04-11,288.83,288.84,287.578,288.21,55093100,0.0
SPY.US,2019-04-12,290.0,290.47,288.261,290.16,69727782,0.0
SPY.US,2019-04-15,290.24,290.35,289.075,289.97,49596685,0.0
SPY.US,2019-04-16,290.95,291.01,289.5,290.16,52153197,0.0
SPY.US,2019-04-17,291.4,291.425,288.99,289.45,58268295,0.0
SPY.US,2019-04-18,290.1,290.32,288.66,290.02,68708513,0.0
SPY.US,2019-04-22,289.17,290.435,289.07,290.27,40160140,0.0
SPY.US,2019-04-23,290.68,293.14,290.42,292.88,52246633,0.0
SPY.US,2019-04-24,292.79,293.16,292.07,292.23,50392914,0.0
SPY.US,2019-04-25,292.12,292.78,290.73,292.05,57770862,0.0
SPY.US,2019-04-26,292.1,293.49,291.24,293.41,50916423,0.0
SPY.US,2019-04-29,293.51,294.45,293.41,293.87,57197747,0.0
SPY.US,2019-04-30,293.49,294.34,291.92,294.02,81111733,0.0
SPY.US,2019-05-01,294.72,294.95,291.8,291.81,71671870,0.0
SPY.US,2019-05-02,291.68,292.7,289.52,291.18,65030170,0.0
SPY.US,2019-05-03,292.82,294.34,291.3,294.03,56543653,0.0
